TITLE,ALBUM,ARTIST,IS_NEW
Back In Black,Back In Black,AC/DC,false
Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap,AC/DC,false
Highway to Hell,Highway to Hell,AC/DC,false
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),High Voltage,AC/DC,false
T.N.T.,High Voltage,AC/DC,false
Thunderstruck,The Razors Edge,AC/DC,false
Whole Lotta Rosie,Let There Be Rock,AC/DC,false
You Shook Me All Night Long,Back In Black,AC/DC,false
Stand and Deliver,Prince Charming,Adam & The Ants,false
Dream On,Aerosmith,Aerosmith,false
Dude (Looks Like A Lady),Permanent Vacation,Aerosmith,false
I Don't Want To Miss A Thing,I Don't Want To Miss A Thing EP,Aerosmith,false
Janie's Got A Gun,Big Ones,Aerosmith,false
Rag Doll,Permanent Vacation,Aerosmith,false
Sweet Emotion,Toys In The Attic,Aerosmith,false
Forgiven,Jagged Little Pill,Alanis Morissette,false
Hand in My Pocket,Jagged Little Pill,Alanis Morissette,false
Ironic,Jagged Little Pill,Alanis Morissette,false
Not the Doctor,Jagged Little Pill,Alanis Morissette,false
Right Through You,Jagged Little Pill,Alanis Morissette,false
Uninvited,The Collection (Standard Edition),Alanis Morissette,false
You Oughta Know,Jagged Little Pill,Alanis Morissette,false
Black Velvet,Alannah Myles,Alannah Myles,false
This Could Be Anywhere in the World,Crisis,Alexisonfire,false
Feed My Frankenstein,Hey Stoopid,Alice Cooper,false
Poison,Trash,Alice Cooper,false
School's Out,School's Out,Alice Cooper,false
Bleed The Freak,Facelift,Alice In Chains,false
Down In A Hole,Dirt,Alice In Chains,false
Man in the Box,Facelift,Alice In Chains,false
Nutshell,Jar Of Flies,Alice In Chains,false
Rooster,Dirt,Alice In Chains,false
Them Bones,Dirt,Alice In Chains,false
We Die Young,Facelift,Alice In Chains,false
Would?,Dirt,Alice In Chains,false
Dirty Little Secret,Move Along,The All-American Rejects,false
"Swing, Swing",The All-American Rejects,The All-American Rejects,false
Big in Japan,Forever Young,Alphaville,false
Forever Young,Forever Young,Alphaville,false
Open Your Eyes,One Day Remains,Alter Bridge,false
The Pursuit Of Vikings,Fate of Norns,Amon Amarth,false
Twilight Of The Thunder God,Twilight Of The Thunder God,Amon Amarth,false
House of the Rising Sun,The Singles Plus,The Animals,false
Caught In A Mosh,Among The Living,Anthrax,false
I Don't Care,Worlds Collide,"Apocalyptica,Adam Gontier",false
Nemesis,Doomsday Machine,Arch Enemy,false
Animals,For Those That Wish To Exist,Architects,false
Do I Wanna Know?,AM,Arctic Monkeys,false
I Bet You Look Good On The Dancefloor,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys,false
One Armed Scissor,Relationship of Command,At the Drive-In,false
Be Yourself,Out Of Exile,Audioslave,false
Cochise,Audioslave,Audioslave,false
Like a Stone,Audioslave,Audioslave,false
Bat Country,City of Evil,Avenged Sevenfold,false
Hail to the King,Hail to the King,Avenged Sevenfold,false
Shepherd of Fire,Hail to the King,Avenged Sevenfold,false
Complicated,Let Go,Avril Lavigne,false
Sk8er Boi,Let Go,Avril Lavigne,false
Love Shack,Cosmic Thing,The B-52's,false
Private Idaho,Wild Planet,The B-52's,false
Spaceman,The Boy With The X-Ray Eyes,Babylon Zoo,false
Like A Villain,,Bad Omens,true
V.A.N,,Bad Omens & Poppy,true
21st Century (Digital Boy),Against The Grain,Bad Religion,false
American Jesus,Recipe For Hate,Bad Religion,false
Infected,Stranger Than Fiction,Bad Religion,false
One Week,Stunt,Barenaked Ladies,false
Sabotage,Ill Communication,Beastie Boys,false
Back In The U.S.S.R.,The Beatles,The Beatles,false
Come Together,Abbey Road,The Beatles,false
Helter Skelter,The Beatles,The Beatles,false
I Am The Walrus,Magical Mystery Tour,The Beatles,false
Twist And Shout,Please Please Me,The Beatles,false
Rockin' the Suburbs,Rockin' The Suburbs,Ben Folds,false
Flesh For Fantasy,Rebel Yell,Billy Idol,false
Rebel Yell,Rebel Yell,Billy Idol,false
White Wedding,Billy Idol,Billy Idol,false
Fallen Leaves,Billy Talent II,Billy Talent,false
Try Honesty,Billy Talent,Billy Talent,false
Army Of Me,Post,Björk,false
It's Oh So Quiet,Post,Björk,false
Play Dead,Greatest Hits,"Björk,David Arnold",false
Hard To Handle,Shake Your Money Maker,The Black Crowes,false
Nervous Breakdown,Nervous Breakdown,Black Flag,false
Stillborn,The Blessed Hellride,Black Label Society,false
Changes,Vol. 4,Black Sabbath,false
Children of the Grave,Master of Reality,Black Sabbath,false
Heaven and Hell,Heaven & Hell,Black Sabbath,false
Iron Man,Paranoid,Black Sabbath,false
N.I.B.,Black Sabbath,Black Sabbath,false
Paranoid,Paranoid,Black Sabbath,false
Snowblind,Vol. 4,Black Sabbath,false
The Wizard,,Black Sabbath,true
War Pigs,Paranoid,Black Sabbath,false
White Trash Millionaire,Between the Devil & the Deep Blue Sea,Black Stone Cherry,false
The Bard's Song,Somewhere Far Beyond,Blind Guardian,false
Adam's Song,Enema Of The State,blink-182,false
All The Small Things,Enema Of The State,blink-182,false
Feeling This,blink-182,blink-182,false
I Miss You,blink-182,blink-182,false
The Rock Show,Take Off Your Pants And Jacket,blink-182,false
What's My Age Again?,Enema Of The State,blink-182,false
Call Me,Atomic/Atomix,Blondie,false
Call Me,Atomic/Atomix,Blondie,false
Hanging On The Telephone,Parallel Lines,Blondie,false
Heart Of Glass,Best Of Blondie,Blondie,false
One Way Or Another,Parallel Lines,Blondie,false
Foxtrot Uniform Charlie Kilo,Hefty Fine,Bloodhound Gang,false
The Bad Touch,Hooray For Boobies,Bloodhound Gang,false
The Ballad Of Chasey Lain,Hooray For Boobies,Bloodhound Gang,false
(Don't Fear) The Reaper,Agents Of Fortune,Blue Öyster Cult,false
Beetlebum,Blur,Blur,false
Coffee & TV,13,Blur,false
Parklife,Parklife,Blur,false
Song 2,Blur,Blur,false
Always,Cross Road,Bon Jovi,false
Bad Medicine,New Jersey,Bon Jovi,false
Livin' On A Prayer,Slippery When Wet,Bon Jovi,false
Runaway,Bon Jovi,Bon Jovi,false
Wanted Dead Or Alive,Slippery When Wet,Bon Jovi,false
You Give Love A Bad Name,Slippery When Wet,Bon Jovi,false
Amanda,Third Stage,Boston,false
More Than a Feeling,Boston,Boston,false
Girl All the Bad Guys Want,Drunk Enough To Dance,Bowling For Soup,false
So Cold,We Are Not Alone,Breaking Benjamin,false
