TITLE,ALBUM,ARTIST
Back In Black,Back In Black,AC/DC
Dirty Deeds Done Dirt Cheap,Dirty Deeds Done Dirt Cheap,AC/DC
Highway to Hell,Highway to Hell,AC/DC
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),High Voltage,AC/DC
T.N.T.,High Voltage,AC/DC
Thunderstruck,The Razors Edge,AC/DC
Whole Lotta Rosie,Let There Be Rock,AC/DC
You Shook Me All Night Long,Back In Black,AC/DC
Stand and Deliver,Prince Charming,Adam & The Ants
Dream On,Aerosmith,Aerosmith
Dude (Looks Like A Lady),Permanent Vacation,Aerosmith
I Don't Want To Miss A Thing,I Don't Want To Miss A Thing EP,Aerosmith
Janie's Got A Gun,Big Ones,Aerosmith
Rag Doll,Permanent Vacation,Aerosmith
Sweet Emotion,Toys In The Attic,Aerosmith
Forgiven,Jagged Little Pill,Alanis Morissette
Hand in My Pocket,Jagged Little Pill,Alanis Morissette
Ironic,Jagged Little Pill,Alanis Morissette
Not the Doctor,Jagged Little Pill,Alanis Morissette
Right Through You,Jagged Little Pill,Alanis Morissette
Uninvited,The Collection (Standard Edition),Alanis Morissette
You Oughta Know,Jagged Little Pill,Alanis Morissette
Black Velvet,Alannah Myles,Alannah Myles
This Could Be Anywhere in the World,Crisis,Alexisonfire
Feed My Frankenstein,Hey Stoopid,Alice Cooper
Poison,Trash,Alice Cooper
School's Out,School's Out,Alice Cooper
Bleed The Freak,Facelift,Alice In Chains
Down In A Hole,Dirt,Alice In Chains
Man in the Box,Facelift,Alice In Chains
Nutshell,Jar Of Flies,Alice In Chains
Rooster,Dirt,Alice In Chains
Them Bones,Dirt,Alice In Chains
We Die Young,Facelift,Alice In Chains
Would?,Dirt,Alice In Chains
Dirty Little Secret,Move Along,The All-American Rejects
"Swing, Swing",The All-American Rejects,The All-American Rejects
Big in Japan,Forever Young,Alphaville
Forever Young,Forever Young,Alphaville
Open Your Eyes,One Day Remains,Alter Bridge
The Pursuit Of Vikings,Fate of Norns,Amon Amarth
Twilight Of The Thunder God,Twilight Of The Thunder God,Amon Amarth
House of the Rising Sun,The Singles Plus,The Animals
Caught In A Mosh,Among The Living,Anthrax
I Don't Care,Worlds Collide,"Apocalyptica,Adam Gontier"
Nemesis,Doomsday Machine,Arch Enemy
Animals,For Those That Wish To Exist,Architects
Do I Wanna Know?,AM,Arctic Monkeys
I Bet You Look Good On The Dancefloor,"Whatever People Say I Am, That's What I'm Not",Arctic Monkeys
One Armed Scissor,Relationship of Command,At the Drive-In
Be Yourself,Out Of Exile,Audioslave
Cochise,Audioslave,Audioslave
Like a Stone,Audioslave,Audioslave
Bat Country,City of Evil,Avenged Sevenfold
Hail to the King,Hail to the King,Avenged Sevenfold
Shepherd of Fire,Hail to the King,Avenged Sevenfold
Complicated,Let Go,Avril Lavigne
Sk8er Boi,Let Go,Avril Lavigne
Love Shack,Cosmic Thing,The B-52's
Private Idaho,Wild Planet,The B-52's
Spaceman,The Boy With The X-Ray Eyes,Babylon Zoo
21st Century (Digital Boy),Against The Grain,Bad Religion
American Jesus,Recipe For Hate,Bad Religion
Infected,Stranger Than Fiction,Bad Religion
One Week,Stunt,Barenaked Ladies
Sabotage,Ill Communication,Beastie Boys
Back In The U.S.S.R.,The Beatles,The Beatles
Come Together,Abbey Road,The Beatles
Helter Skelter,The Beatles,The Beatles
I Am The Walrus,Magical Mystery Tour,The Beatles
Twist And Shout,Please Please Me,The Beatles
Rockin' the Suburbs,Rockin' The Suburbs,Ben Folds
Flesh For Fantasy,Rebel Yell,Billy Idol
Rebel Yell,Rebel Yell,Billy Idol
White Wedding,Billy Idol,Billy Idol
Fallen Leaves,Billy Talent II,Billy Talent
Try Honesty,Billy Talent,Billy Talent
Army Of Me,Post,Björk
It's Oh So Quiet,Post,Björk
Play Dead,Greatest Hits,"Björk,David Arnold"
Hard To Handle,Shake Your Money Maker,The Black Crowes
Nervous Breakdown,Nervous Breakdown,Black Flag
Stillborn,The Blessed Hellride,Black Label Society
Changes,Vol. 4,Black Sabbath
Children of the Grave,Master of Reality,Black Sabbath
Heaven and Hell,Heaven & Hell,Black Sabbath
Iron Man,Paranoid,Black Sabbath
N.I.B.,Black Sabbath,Black Sabbath
Paranoid,Paranoid,Black Sabbath
Snowblind,Vol. 4,Black Sabbath
War Pigs,Paranoid,Black Sabbath
White Trash Millionaire,Between the Devil & the Deep Blue Sea,Black Stone Cherry
The Bard's Song,Somewhere Far Beyond,Blind Guardian
Adam's Song,Enema Of The State,blink-182
All The Small Things,Enema Of The State,blink-182
Feeling This,blink-182,blink-182
I Miss You,blink-182,blink-182
The Rock Show,Take Off Your Pants And Jacket,blink-182
What's My Age Again?,Enema Of The State,blink-182
Call Me,Atomic/Atomix,Blondie
Call Me,Atomic/Atomix,Blondie
Hanging On The Telephone,Parallel Lines,Blondie
Heart Of Glass,Best Of Blondie,Blondie
One Way Or Another,Parallel Lines,Blondie
Foxtrot Uniform Charlie Kilo,Hefty Fine,Bloodhound Gang
The Bad Touch,Hooray For Boobies,Bloodhound Gang
The Ballad Of Chasey Lain,Hooray For Boobies,Bloodhound Gang
